시군구,사고내용,사고유형,법규위반
서울특별시 광진구 중곡동,경상사고,차대사람 - 보도통행중,안전운전불이행
서울특별시 광진구 화양동,경상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 자양동,경상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 자양동,중상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 구의동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 화양동,중상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 구의동,경상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 구의동,중상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 군자동,경상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 구의동,경상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 군자동,경상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 구의동,경상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 구의동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 자양동,경상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 화양동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 중곡동,경상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 화양동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 화양동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 구의동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 능동,경상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 화양동,중상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 화양동,경상사고,차대사람 - 보도통행중,안전운전불이행
서울특별시 광진구 중곡동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 화양동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 화양동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 화양동,경상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 중곡동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 중곡동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 화양동,경상사고,차대사람 - 보도통행중,안전운전불이행
서울특별시 광진구 화양동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 광장동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 중곡동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 화양동,중상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 화양동,중상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 화양동,경상사고,차대사람 - 보도통행중,안전운전불이행
서울특별시 광진구 중곡동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 구의동,경상사고,차대사람 - 길가장자리구역통행중,보행자보호의무위반
서울특별시 광진구 중곡동,부상신고사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 군자동,경상사고,차대사람 - 보도통행중,안전운전불이행
서울특별시 광진구 화양동,경상사고,차대사람 - 보도통행중,보행자보호의무위반
서울특별시 광진구 화양동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
서울특별시 광진구 자양동,경상사고,차대사람 - 보도통행중,신호위반
서울특별시 광진구 중곡동,경상사고,차대사람 - 보도통행중,안전운전불이행
서울특별시 광진구 중곡동,중상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 화양동,경상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 자양동,중상사고,차대사람 - 차도통행중,안전운전불이행
서울특별시 광진구 중곡동,경상사고,차대사람 - 길가장자리구역통행중,안전운전불이행
